gameid,date,hometeam,awayteam,gamesite
"ANA200404130","040413","SEA","ANA","ANA01"
"ANA200404140","040414","SEA","ANA","ANA01"
"ANA200404150","040415","SEA","ANA","ANA01"
"ANA200404160","040416","OAK","ANA","ANA01"
"ANA200404170","040417","OAK","ANA","ANA01"
"ANA200404180","040418","OAK","ANA","ANA01"
"ANA200404200","040420","TEX","ANA","ANA01"
"ANA200404210","040421","TEX","ANA","ANA01"
"ANA200404220","040422","TEX","ANA","ANA01"
"ANA200405030","040503","DET","ANA","ANA01"
"ANA200405040","040504","DET","ANA","ANA01"
"ANA200405050","040505","DET","ANA","ANA01"
"ANA200405060","040506","TBA","ANA","ANA01"
"ANA200405070","040507","TBA","ANA","ANA01"
"ANA200405080","040508","TBA","ANA","ANA01"
"ANA200405090","040509","TBA","ANA","ANA01"
"ANA200405180","040518","NYA","ANA","ANA01"
"ANA200405190","040519","NYA","ANA","ANA01"
"ANA200405200","040520","NYA","ANA","ANA01"
"ANA200405210","040521","BAL","ANA","ANA01"
"ANA200405220","040522","BAL","ANA","ANA01"
"ANA200405230","040523","BAL","ANA","ANA01"
"ANA200406010","040601","BOS","ANA","ANA01"
"ANA200406020","040602","BOS","ANA","ANA01"
"ANA200406030","040603","CLE","ANA","ANA01"
"ANA200406040","040604","CLE","ANA","ANA01"
"ANA200406050","040605","CLE","ANA","ANA01"
"ANA200406060","040606","CLE","ANA","ANA01"
"ANA200406080","040608","MIL","ANA","ANA01"
"ANA200406090","040609","MIL","ANA","ANA01"
"ANA200406100","040610","MIL","ANA","ANA01"
"ANA200406110","040611","CHN","ANA","ANA01"
"ANA200406120","040612","CHN","ANA","ANA01"
"ANA200406130","040613","CHN","ANA","ANA01"
"ANA200406210","040621","OAK","ANA","ANA01"
"ANA200406220","040622","OAK","ANA","ANA01"
"ANA200406230","040623","OAK","ANA","ANA01"
"ANA200406240","040624","OAK","ANA","ANA01"
"ANA200407020","040702","LAN","ANA","ANA01"
"ANA200407030","040703","LAN","ANA","ANA01"
"ANA200407040","040704","LAN","ANA","ANA01"
"ANA200407150","040715","BOS","ANA","ANA01"
"ANA200407160","040716","BOS","ANA","ANA01"
"ANA200407170","040717","BOS","ANA","ANA01"
"ANA200407180","040718","BOS","ANA","ANA01"
"ANA200407190","040719","CLE","ANA","ANA01"
"ANA200407200","040720","CLE","ANA","ANA01"
"ANA200407260","040726","TEX","ANA","ANA01"
"ANA200407270","040727","TEX","ANA","ANA01"
"ANA200407280","040728","TEX","ANA","ANA01"
"ANA200407290","040729","SEA","ANA","ANA01"
"ANA200407300","040730","SEA","ANA","ANA01"
"ANA200407310","040731","SEA","ANA","ANA01"
"ANA200408010","040801","SEA","ANA","ANA01"
"ANA200408100","040810","BAL","ANA","ANA01"
"ANA200408110","040811","BAL","ANA","ANA01"
"ANA200408120","040812","BAL","ANA","ANA01"
"ANA200408130","040813","DET","ANA","ANA01"
"ANA200408140","040814","DET","ANA","ANA01"
"ANA200408150","040815","DET","ANA","ANA01"
"ANA200408230","040823","KCA","ANA","ANA01"
"ANA200408240","040824","KCA","ANA","ANA01"
"ANA200408250","040825","KCA","ANA","ANA01"
"ANA200408270","040827","MIN","ANA","ANA01"
"ANA200408280","040828","MIN","ANA","ANA01"
"ANA200408290","040829","MIN","ANA","ANA01"
"ANA200409070","040907","TOR","ANA","ANA01"
"ANA200409080","040908","TOR","ANA","ANA01"
"ANA200409090","040909","TOR","ANA","ANA01"
"ANA200409100","040910","CHA","ANA","ANA01"
"ANA200409110","040911","CHA","ANA","ANA01"
"ANA200409120","040912","CHA","ANA","ANA01"
"ANA200409170","040917","TEX","ANA","ANA01"
"ANA200409180","040918","TEX","ANA","ANA01"
"ANA200409190","040919","TEX","ANA","ANA01"
"ANA200409200","040920","SEA","ANA","ANA01"
"ANA200409210","040921","SEA","ANA","ANA01"
"ANA200409220","040922","SEA","ANA","ANA01"
"ANA200409240","040924","OAK","ANA","ANA01"
"ANA200409250","040925","OAK","ANA","ANA01"
"ANA200409260","040926","OAK","ANA","ANA01"
"ARI200404060","040406","COL","ARI","PHO01"
"ARI200404070","040407","COL","ARI","PHO01"
"ARI200404080","040408","COL","ARI","PHO01"
"ARI200404090","040409","SLN","ARI","PHO01"
"ARI200404100","040410","SLN","ARI","PHO01"
"ARI200404110","040411","SLN","ARI","PHO01"
"ARI200404230","040423","SDN","ARI","PHO01"
"ARI200404240","040424","SDN","ARI","PHO01"
